x,y,z
0.994653,0.00534681,0.174382
0.994593,0.00540742,0.175371
0.994532,0.00546836,0.176361
0.99447,0.00552963,0.17735
0.994409,0.00559122,0.178339
0.994347,0.00565315,0.179328
0.994285,0.0057154,0.180317
0.994222,0.00577799,0.181306
0.994159,0.0058409,0.182294
0.994096,0.00590414,0.183283
0.994032,0.0059677,0.184271
0.993968,0.0060316,0.185259
0.993904,0.00609582,0.186248
0.99384,0.00616037,0.187236
0.993775,0.00622524,0.188223
0.99371,0.00629044,0.189211
0.993644,0.00635597,0.190199
0.993578,0.00642182,0.191186
0.993512,0.006488,0.192174
0.993445,0.00655451,0.193161
0.993379,0.00662134,0.194148
0.993312,0.00668849,0.195135
0.993244,0.00675597,0.196122
0.993176,0.00682377,0.197109
0.993108,0.0068919,0.198096
0.99304,0.00696035,0.199082
0.992971,0.00702912,0.200068
0.992902,0.00709822,0.201055
0.992832,0.00716764,0.202041
0.992763,0.00723738,0.203027
0.992693,0.00730744,0.204013
0.992622,0.00737783,0.204998
0.992551,0.00744854,0.205984
0.99248,0.00751956,0.206969
0.992409,0.00759091,0.207955
0.992337,0.00766258,0.20894
0.992265,0.00773457,0.209925
0.992193,0.00780689,0.21091
0.99212,0.00787952,0.211894
0.992048,0.00795247,0.212879
0.991974,0.00802574,0.213864
0.991901,0.00809933,0.214848
0.991827,0.00817323,0.215832
0.991753,0.00824746,0.216816
0.991678,0.008322,0.2178
0.991603,0.00839686,0.218784
0.991528,0.00847204,0.219768
0.991452,0.00854754,0.220751
0.991377,0.00862335,0.221734
0.991301,0.00869948,0.222718
0.991224,0.00877593,0.223701
0.991147,0.00885269,0.224684
0.99107,0.00892977,0.225666
0.990993,0.00900716,0.226649
0.990915,0.00908487,0.227632
0.990837,0.00916289,0.228614
0.990759,0.00924123,0.229596
0.99068,0.00931988,0.230578
0.990601,0.00939885,0.23156
0.990522,0.00947812,0.232542
0.990442,0.00955772,0.233524
0.990362,0.00963762,0.234505
0.990282,0.00971784,0.235486
0.990202,0.00979837,0.236467
0.990121,0.00987921,0.237449
0.99004,0.00996036,0.238429
0.989958,0.0100418,0.23941
0.989876,0.0101236,0.240391
0.989794,0.0102057,0.241371
0.989712,0.0102881,0.242351
0.989629,0.0103708,0.243331
0.989546,0.0104538,0.244311
0.989463,0.0105371,0.245291
0.989379,0.0106208,0.246271
0.989295,0.0107047,0.24725
0.989211,0.010789,0.24823
0.989126,0.0108735,0.249209
0.989042,0.0109584,0.250188
0.988956,0.0110436,0.251167
0.988871,0.011129,0.252145
0.988785,0.0112148,0.253124
0.988699,0.0113009,0.254102
0.988613,0.0113873,0.255081
0.988526,0.011474,0.256059
0.988439,0.011561,0.257037
0.988352,0.0116484,0.258014
0.988264,0.011736,0.258992
0.988176,0.0118239,0.259969
0.988088,0.0119121,0.260947
0.987999,0.0120007,0.261924
0.98791,0.0120895,0.262901
0.987821,0.0121786,0.263877
0.987732,0.0122681,0.264854
0.987642,0.0123578,0.26583
0.987552,0.0124479,0.266807
0.987462,0.0125382,0.267783
0.987371,0.0126289,0.268759
0.98728,0.0127198,0.269735
0.987189,0.0128111,0.27071
0.987097,0.0129026,0.271686
0.987006,0.0129945,0.272661
0.986913,0.0130866,0.273636
0.986821,0.0131791,0.274611
0.986728,0.0132718,0.275586
0.986635,0.0133649,0.27656
0.986542,0.0134582,0.277535
0.986448,0.0135519,0.278509
0.986354,0.0136458,0.279483
0.98626,0.01374,0.280457
0.986165,0.0138346,0.281431
0.986071,0.0139294,0.282405
0.985975,0.0140245,0.283378
0.98588,0.01412,0.284351
0.985784,0.0142157,0.285324
0.985688,0.0143117,0.286297
0.985592,0.014408,0.28727
0.985495,0.0145046,0.288243
0.985398,0.0146015,0.289215
0.985301,0.0146987,0.290187
0.985204,0.0147962,0.291159
0.985106,0.014894,0.292131
0.985008,0.014992,0.293103
0.98491,0.0150904,0.294074
0.984811,0.0151891,0.295046
0.984712,0.015288,0.296017
0.984613,0.0153872,0.296988
0.984513,0.0154868,0.297958
0.984413,0.0155866,0.298929
0.984313,0.0156867,0.299899
0.984213,0.0157871,0.30087
0.984112,0.0158878,0.30184
0.984011,0.0159888,0.30281
0.98391,0.01609,0.303779
0.983808,0.0161916,0.304749
0.983707,0.0162934,0.305718
0.983604,0.0163955,0.306687
0.983502,0.016498,0.307656
0.983399,0.0166007,0.308625
0.983296,0.0167037,0.309594
0.983193,0.0168069,0.310562
0.98309,0.0169105,0.311531
0.982986,0.0170143,0.312499
0.982882,0.0171185,0.313467
0.982777,0.0172229,0.314434
0.982672,0.0173276,0.315402
0.982567,0.0174326,0.316369
0.982462,0.0175378,0.317336
0.982357,0.0176434,0.318303
